timestamp,TP9,AF7,AF8,TP10
2024-06-05T16:29:45.628104,125.0,-13.671875,213.37890625,182.12890625,0.0
2024-06-05T16:29:45.631809,-851.07421875,-817.3828125,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.635513,-213.37890625,3.41796875,-275.87890625,-268.06640625,0.0
2024-06-05T16:29:45.639218,-1000.0,-1000.0,-827.63671875,-799.8046875,0.0
2024-06-05T16:29:45.642922,-221.19140625,-238.28125,564.94140625,225.09765625,0.0
2024-06-05T16:29:45.646627,-837.890625,-827.63671875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.650331,241.69921875,242.1875,-638.671875,-273.4375,0.0
2024-06-05T16:29:45.654036,-1000.0,-1000.0,900.87890625,-834.47265625,0.0
2024-06-05T16:29:45.659084,-463.37890625,-561.5234375,-903.80859375,613.76953125,0.0
2024-06-05T16:29:45.662793,-886.71875,-940.4296875,-261.23046875,-1000.0,0.0
2024-06-05T16:29:45.666502,349.609375,522.4609375,-1000.0,-665.52734375,0.0
2024-06-05T16:29:45.670212,-1000.0,-1000.0,185.546875,878.41796875,0.0
2024-06-05T16:29:45.673921,-915.52734375,-1000.0,-760.25390625,-881.8359375,0.0
2024-06-05T16:29:45.677630,660.64453125,434.08203125,185.546875,-156.25,0.0
2024-06-05T16:29:45.681339,807.12890625,-948.2421875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.685048,-754.39453125,-409.66796875,-270.01953125,91.796875,0.0
2024-06-05T16:29:45.688757,-1000.0,-1000.0,-802.24609375,-761.23046875,0.0
2024-06-05T16:29:45.692466,-37.109375,-180.6640625,262.20703125,191.89453125,0.0
2024-06-05T16:29:45.696175,-846.6796875,-833.984375,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.699884,-94.7265625,126.953125,-327.63671875,-273.92578125,0.0
2024-06-05T16:29:45.704836,-1000.0,-1000.0,-878.41796875,-803.22265625,0.0
2024-06-05T16:29:45.708549,-227.05078125,-247.55859375,732.91015625,331.0546875,0.0
2024-06-05T16:29:45.712263,-834.9609375,-822.75390625,-875.0,-1000.0,0.0
2024-06-05T16:29:45.715976,243.1640625,239.74609375,-827.1484375,-373.046875,0.0
2024-06-05T16:29:45.719689,-1000.0,-1000.0,731.93359375,-910.64453125,0.0
2024-06-05T16:29:45.723402,-560.546875,-649.90234375,-851.07421875,821.2890625,0.0
2024-06-05T16:29:45.727115,-935.546875,996.58203125,-153.3203125,-738.76953125,0.0
2024-06-05T16:29:45.730828,450.68359375,632.32421875,-1000.0,-931.15234375,0.0
2024-06-05T16:29:45.734541,-1000.0,-917.96875,75.68359375,601.07421875,0.0
2024-06-05T16:29:45.738254,-1000.0,-1000.0,-761.71875,-818.359375,0.0
2024-06-05T16:29:45.741967,461.9140625,169.921875,193.359375,-40.52734375,0.0
2024-06-05T16:29:45.745681,939.453125,-847.16796875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.750546,-580.078125,-216.796875,-276.3671875,-37.59765625,0.0
2024-06-05T16:29:45.754262,-1000.0,-1000.0,-810.05859375,-768.5546875,0.0
2024-06-05T16:29:45.757979,-209.47265625,-221.19140625,406.25,202.63671875,0.0
2024-06-05T16:29:45.761695,-846.6796875,-833.0078125,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.765412,130.859375,238.28125,-477.5390625,-276.85546875,0.0
2024-06-05T16:29:45.769129,-1000.0,-1000.0,-959.9609375,-814.453125,0.0
